domanda,risposta,id,front,back,last_review,interval,ease_factor,repetitions,last_confidence,chapter,removed
What is Two-Factor Authentication (2FA)?,"A security process where users provide two different authentication factors to verify themselves, such as something they know (password) and something they have (a code from a phone).",e0758a12-6e82-4c6d-941d-e694a27b22fc,What is Two-Factor Authentication (2FA)?,"A security process where users provide two different authentication factors to verify themselves, such as something they know (password) and something they have (a code from a phone).",,0,2.5,0,0,7.0,0
What is Discretionary Access Control (DAC)?,An access control policy where the owner of an object can determine who is allowed to access it.,a5a3f73a-ea6e-4cf3-88d0-402e0d15ca6d,What is Discretionary Access Control (DAC)?,An access control policy where the owner of an object can determine who is allowed to access it.,,0,2.5,0,0,7.0,0
What is Mandatory Access Control (MAC)?,An access control policy where access rights are determined by a central authority based on security classifications (levels and categories) of subjects and objects.,b08344f3-f455-4de3-b465-0792fbb02887,What is Mandatory Access Control (MAC)?,An access control policy where access rights are determined by a central authority based on security classifications (levels and categories) of subjects and objects.,,0,2.5,0,0,3.0,1
"In MAC, the 'No-Read-Up' rule states that a subject can read an object only if the subject's security level is _____ the object's level.",greater than or equal to,1e1f28f7-19d3-4bd1-b285-c45ba1c13d0a,"In MAC, the 'No-Read-Up' rule states that a subject can read an object only if the subject's security level is _____ the object's level.",greater than or equal to,,0,2.5,0,0,7.0,0
What is an SQL injection attack?,"A code injection technique used to attack data-driven applications, in which malicious SQL statements are inserted into an entry field for execution.",26a162bd-9feb-43bf-835e-cee55c66306c,What is an SQL injection attack?,"A code injection technique used to attack data-driven applications, in which malicious SQL statements are inserted into an entry field for execution.",,0,2.5,0,0,7.0,0
What is a firewall in network security?,A set of hardware and/or software components that connects a trusted network to untrusted networks and controls traffic based on security policies.,5dd4d1e7-8394-44b2-a8e9-254bdc512ec1,What is a firewall in network security?,A set of hardware and/or software components that connects a trusted network to untrusted networks and controls traffic based on security policies.,,0,2.5,0,0,7.0,0
What is a DMZ (DeMilitarized Zone) in a network architecture?,An isolated subnet located between a trusted internal network and an untrusted external network (like the Internet) to add an extra layer of security.,75bfc121-f4a1-4a37-be34-5b023aabb8fc,What is a DMZ (DeMilitarized Zone) in a network architecture?,An isolated subnet located between a trusted internal network and an untrusted external network (like the Internet) to add an extra layer of security.,,0,2.5,0,0,7.0,0
What is an Intrusion Detection System (IDS)?,A hardware or software component that monitors events in a system or network to detect intrusions or attempts to compromise security properties.,c920828a-39ca-4058-a212-e60ad4e78008,What is an Intrusion Detection System (IDS)?,A hardware or software component that monitors events in a system or network to detect intrusions or attempts to compromise security properties.,,0,2.5,0,0,7.0,0
What is the difference between misuse detection and anomaly detection in an IDS?,"Misuse detection identifies known attack patterns (signatures), while anomaly detection identifies significant deviations from normal behavior.",094c1e9b-3952-4412-9b74-e25201c579d5,What is the difference between misuse detection and anomaly detection in an IDS?,"Misuse detection identifies known attack patterns (signatures), while anomaly detection identifies significant deviations from normal behavior.",,0,2.5,0,0,7.0,0
What is the core principle of a Zero Trust (ZT) security model?,"The principle that access to IT systems must be granted only when strictly necessary, without implicit trust, and must be continuously verified ('trust no one').",866937c7-8fe8-4eae-8909-292e0a778194,What is the core principle of a Zero Trust (ZT) security model?,"The principle that access to IT systems must be granted only when strictly necessary, without implicit trust, and must be continuously verified ('trust no one').",,0,2.5,0,0,7.0,0
What are the two main activities in the planning phase of an information system project?,Strategic planning and the feasibility study.,74bcf07e-120b-411b-af61-59c8880dbfc5,What are the two main activities in the planning phase of an information system project?,Strategic planning and the feasibility study.,,0,2.5,0,0,1.0,1
What is the purpose of a feasibility study in IS design?,"To specify the characteristics of a potential intervention, define objectives, identify design alternatives, and analyze their technical, organizational, and economic feasibility.",6b81b0f5-fad9-47e6-8121-af0de7584307,What is the purpose of a feasibility study in IS design?,"To specify the characteristics of a potential intervention, define objectives, identify design alternatives, and analyze their technical, organizational, and economic feasibility.",,0,2.5,0,0,7.0,0
What is the 'Buy' alternative in sourcing strategies?,The decision to purchase a pre-existing software solution (COTS) rather than developing one from scratch.,f565416c-7c52-4ad5-9006-f0dea8cbb628,What is the 'Buy' alternative in sourcing strategies?,The decision to purchase a pre-existing software solution (COTS) rather than developing one from scratch.,2026-01-30T10:13:26.064834,1,2.36,1,3,3.0,0
